address,amount
0x1e973341166e98072f7e560cc2fc832cb5353697,595
0x6d05612439099ccde7ef6dab91490dc67033736e,6.8085
0x3de1424cd901cec50c5d1e1109b6d2dd104c2c23,4.25
0x7078943ba34c0064f8e7ea40c368520e002a4575,206.7285
0xf1b109c62d62619a81f116b3da7144470c7e72c9,526.0905
0xace100a90e8b7a0be9fbf4fe3713ebbb015dc18c,2.55
0xd745573cdaa82965cbb032ef617cda3d2803b5af,2.55
0x5547e93858325b7f1635187246761df3fb7c5ca6,1088.969
0xcc326aea9329577d20e62e732a394ceb75c333c2,2.55
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,1485.069
0x38faa3f52652f5febdebf8a722d40836d8a02f04,2.55
0x2b3d820cab9970dcadbbbb667e012b927608d17c,144.5
0x8331b95e050690240743b53830eb30fc3b2ba647,39.678
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,1636.0035
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,170
0xa17f6983ec1d582f5a51328ebb247a7ac486e7d8,17
0xdc61e516d02204e27509fc8cbb135da2439a3967,80.75
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,467.738
0xb3a3598cf265f1bcec212ff901b22b1841f13fa0,4.539
0x70b02d35d731bb8db768053e1f40c3036afdfaba,110.5
0x113aaa5ab90f96d799d306f5eb1e1fbee26923b4,9.3585
0xc20c9688e2334796c420cfe9fb6297eb0b9ac80d,5.1
0xfd073b7df6840c51a75335ad087db1057339a294,2.55
0x69276fada1552f650cd18bd9388287e22f16126c,2.2695
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,115.3705
0x74389bca806df4276c0f1927fda45154e4556922,9.078
0x590cb961aff1c2fa489467e81af2bb08b802a402,240.6435
0xd61eac6ebc46c514050e2b957ecd9e020d9d3d5a,2.55
0xae47f90e670262c4d0ba04f82b8918485bd57bcc,595
0x62b418aaabaa132a7ccae2a43e5653c6331c7b8b,64.6085
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,84.2265
0xd99369b63c02c3e6021aeb5ca657d3e05d13ea9c,63.5205
0x7c5dccaee1e2f103585acfbf72de8e19592c091c,479.1365
0xc6947af6f7eb3d92118dd4ca5dc36750b6552710,39.1
0x52332ec46bbd2d600dc00825583576b9483eaae9,80.75
0x1abd49d4781e4cc5520f4c5b3bdc15ea6fd91d34,515.1
0x28b460e553ce81ea5ea5407ece30bba3903af23d,433.1685
0xf7a13589d121aee4a8404a03923d0ba37599928f,138.3205
0xfc9eeec3dbbc94255e527b48c5f8ba774ce77829,68
0xfe423df83bf7c1b64352a3f586c21895b52c43d2,2.55
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,20.1195
0x41eaeed1f22b5b98119170aa33b4082ec4224d08,4.539
0x966edb5cbe2027dabb9e9c19b4c4811df2ea19b0,108.8935
0x3ba654f6324b972ca042d785eb66997355411785,242.879
0x184923a184108680efe7ef3cf3a9b4892f141e18,11.3475
0xcb3ca4bd675124b631ec23dea67d9dc46ff69182,2.55
0x18301ac19cd1b9390400c6d0a6d800bdd68240ec,4.25
0xbaddc83e3c4d7ccfc1d7559696054afeaa13d7c4,39.134
0xb8e908ddab4af40482d9b8b04502ac33fa34efed,2.55
0x048054f6e13bb29c6453a12337999faaf8ebd72f,6.8085
0x64d6e0774917bcc18bba2b3051283aad4e20afea,51
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,5.1
0xf894c823082742a0f1fd808fd4388f401633a1c5,25.5
0x8062e69af89430d0749697cede9614cda80325e0,261.2475
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,136.119
0x1bc9b2bd6073b65ed19a49eef8f4ec50bd584b87,17.8585
0x6f1342bff21ac9111bff4ef9fd600a3a31f98aa8,391
